S.No.,Combination,Mean Absolute Error,Mean Squared Error
88,Total Docs(2017)+Total Refs+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years),6.344386844204756e+16,4.0251244428918597e+33
89,Total Docs(2017)+Total Refs+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,1.8189553219478152e+18,3.308598463242273e+36
90,Total Docs(2017)+Total Docs(3years),1.3089800627182384e+17,1.713428804593838e+34
91,Total Docs(2017)+Total Docs(3years)+Ref/Doc,5.3910147334074585,29.23285447626374
92,Total Docs(2017)+Total Docs(3years)+Cites/Docs(2years),15.295834648931518,234.13237222790133
93,Total Docs(2017)+Total Docs(3years)+Cites/Docs(2years)+Ref/Doc,1.2081021583170417,1.612218653019701
94,Total Docs(2017)+Total Docs(3years)+Citable Docs(3years)+Ref/Doc,4.401122083138561e+16,1.9369875590689953e+33
95,Total Docs(2017)+Total Docs(3years)+Citable Docs(3years)+Cites/Docs(2years),7.096914310846002e+17,5.036619273549074e+35
96,Total Docs(2017)+Total Docs(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,408.6377767515519,166985.00240307173
97,Total Docs(2017)+Total Docs(3years)+Total Cites(3years),1.6427283754818697e+32,2.6985565156133123e+64
98,Total Docs(2017)+Total Docs(3years)+Total Cites(3years)+Ref/Doc,9.114822347107858e+18,8.307998641933654e+37
99,Total Docs(2017)+Total Docs(3years)+Total Cites(3years)+Cites/Docs(2years),1.3853462289157972e+18,1.919184173971221e+36
100,Total Docs(2017)+Total Docs(3years)+Total Cites(3years)+Cites/Docs(2years)+Ref/Doc,9.697456791572218,94.21048284485764
101,Total Docs(2017)+Total Docs(3years)+Total Cites(3years)+Citable Docs(3years)+Ref/Doc,4.6680869283762374e+17,2.1791035570877126e+35
102,Total Docs(2017)+Total Docs(3years)+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years),3.741745927149576e+17,1.4000662583340538e+35
103,Total Docs(2017)+Total Docs(3years)+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,9.444553998927888e+16,8.919960023866538e+33
104,Total Docs(2017)+Total Docs(3years)+Total Refs,1.1016703687687967e+34,1.213677601423179e+68
105,Total Docs(2017)+Total Docs(3years)+Total Refs+Ref/Doc,2.112749721683342e+17,4.463711386473041e+34
106,Total Docs(2017)+Total Docs(3years)+Total Refs+Cites/Docs(2years),3.88649131905843e+17,1.510481477311649e+35
107,Total Docs(2017)+Total Docs(3years)+Total Refs+Cites/Docs(2years)+Ref/Doc,10.165200645376592,103.50111878121206
108,Total Docs(2017)+Total Docs(3years)+Total Refs+Citable Docs(3years)+Ref/Doc,4.804747395208185e+16,2.3085597531759798e+33
109,Total Docs(2017)+Total Docs(3years)+Total Refs+Citable Docs(3years)+Cites/Docs(2years),4.7125223508789856e+17,2.220786690753398e+35
110,Total Docs(2017)+Total Docs(3years)+Total Refs+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,6.118141505296471e+17,3.743165547883161e+35
111,Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Ref/Doc,3.281452615049135e+17,1.076793126481283e+35
112,Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Cites/Docs(2years),4.752181614867725e+18,2.2583230100686944e+37
113,Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Cites/Docs(2years)+Ref/Doc,8.788404915521836e+17,7.723606095916871e+35
114,Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Citable Docs(3years)+Ref/Doc,3.721502961668911e+18,1.384958429371042e+37
115,Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years),1.8141627110158502e+18,3.291186342040386e+36
116,Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,5.423218448876859e+16,2.9411298344238476e+33
117,H-Index,0.8173709677419354,0.8379099193548389
118,H-Index+Ref/Doc,0.5848122593087016,0.428172362466036
119,H-Index+Cites/Docs(2years),8.00960855348614,64.32364380052579
120,H-Index+Cites/Docs(2years)+Ref/Doc,1.0696578334586648,1.2890561641733038
121,H-Index+Citable Docs(3years),2.2118707313942496e+17,4.892372132398501e+34
122,H-Index+Citable Docs(3years)+Ref/Doc,15.562857101429573,242.37233577996437
123,H-Index+Citable Docs(3years)+Cites/Docs(2years),33.37936346132741,1114.3517197038473
124,H-Index+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,0.5507381640497372,0.38359423769105716
125,H-Index+Total Cites(3years),1.632895977076527e+17,2.6663492719526955e+34
126,H-Index+Total Cites(3years)+Ref/Doc,5.801750855316426,33.83012760761237
127,H-Index+Total Cites(3years)+Cites/Docs(2years),2.843495359883837,8.255280482128358
128,H-Index+Total Cites(3years)+Cites/Docs(2years)+Ref/Doc,1.1127474444465717,1.3852504397682754
129,H-Index+Total Cites(3years)+Citable Docs(3years)+Ref/Doc,5.7699501561828344e+16,3.32923248048343e+33
130,H-Index+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years),2.9194596040148966e+17,8.523244379474788e+34
131,H-Index+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,22.818718621646948,520.8637341543453
132,H-Index+Total Refs,2.5021164505534166e+17,6.26058673213006e+34
133,H-Index+Total Refs+Ref/Doc,0.3815778221011183,0.20786887569827567
134,H-Index+Total Refs+Cites/Docs(2years),7.787875570120758,60.820820516131164
135,H-Index+Total Refs+Cites/Docs(2years)+Ref/Doc,1.9793846809799283,4.087778335745461
136,H-Index+Total Refs+Citable Docs(3years),6.170903256416081e+34,3.808004700004655e+69
137,H-Index+Total Refs+Citable Docs(3years)+Ref/Doc,3.002463988599235e+17,9.014790002835224e+34
138,H-Index+Total Refs+Citable Docs(3years)+Cites/Docs(2years),2.8055787829190352e+17,7.871272307165528e+34
